Order_ID,Order_Date,Customer,City,Category,Product,Quantity,Unit_Price,Discount,Payment,Rating
1001,2026-01-05,Amit,Pune,Electronics,Laptop,1,55000,0.05,UPI,5
1002,2026-01-07,Sneha,Mumbai,Electronics,Headphones,2,2500,0.10,Card,4
1003,2026-01-12,Rahul,Delhi,Furniture,Chair,4,3500,0.05,Cash,4
1004,2026-01-18,Priya,Pune,Electronics,Keyboard,2,1800,0.00,UPI,5
1005,2026-02-03,Vikas,Mumbai,Electronics,Laptop,2,55000,0.08,Card,5
1006,2026-02-08,Neha,Delhi,Furniture,Table,1,8500,0.10,UPI,4
1007,2026-02-15,Arjun,Pune,Electronics,Mouse,3,1200,0.05,Cash,4
1008,2026-02-21,Kiran,Mumbai,Furniture,Chair,6,3500,0.10,Card,3
1009,2026-03-02,Riya,Delhi,Electronics,Monitor,2,15000,0.05,UPI,5
1010,2026-03-10,Rohit,Pune,Electronics,Laptop,1,55000,0.00,Card,5
1011,2026-03-15,Amit,Pune,Furniture,Table,2,8500,0.05,UPI,4
1012,2026-03-22,Sneha,Mumbai,Electronics,Mouse,4,1200,0.10,Card,4
1013,2026-04-04,Rahul,Delhi,Electronics,Keyboard,3,1800,0.05,Cash,3
1014,2026-04-12,Priya,Pune,Furniture,Chair,2,3500,0.00,UPI,5
1015,2026-04-20,Vikas,Mumbai,Electronics,Monitor,2,15000,0.08,Card,4
1016,2026-05-05,Neha,Delhi,Electronics,Headphones,3,2500,0.05,UPI,4
1017,2026-05-11,Arjun,Pune,Furniture,Table,1,8500,0.10,Cash,3
1018,2026-05-19,Kiran,Mumbai,Electronics,Laptop,1,55000,0.05,Card,5
1019,2026-06-03,Riya,Delhi,Furniture,Chair,5,3500,0.05,UPI,4
1020,2026-06-15,Rohit,Pune,Electronics,Monitor,1,15000,0.00,Card,5
